Date, Open, High, Low, Close
03/06/20, 2999.23, 3000.14, 2959.16, 2960.98
03/05/20, 3037.07, 3047.79, 3016.33, 3018.27
03/04/20, 3015.20, 3031.93, 3003.09, 3025.03
03/03/20, 3032.35, 3042.77, 3015.55, 3019.56
03/02/20, 2988.35, 3026.23, 2987.41, 3007.72
02/28/20, 3043.67, 3056.56, 3008.46, 3011.08
02/27/20, 3110.23, 3114.15, 3086.39, 3111.70
02/26/20, 3131.64, 3136.44, 3117.52, 3117.52
02/25/20, 3145.01, 3171.74, 3142.20, 3158.24
02/24/20, 3159.64, 3166.01, 3140.39, 3142.20
02/21/20, 3189.19, 3200.73, 3179.37, 3181.03
02/20/20, 3217.54, 3221.69, 3190.99, 3198.68
02/19/20, 3199.22, 3222.61, 3194.35, 3213.71
02/18/20, 3203.38, 3203.62, 3191.15, 3196.63
02/17/20, 3220.66, 3223.43, 3210.00, 3213.00
02/14/20, 3216.36, 3220.03, 3220.03, 3220.03
02/13/20, 3230.28, 3232.90, 3211.87, 3220.09
02/12/20, 3223.37, 3223.37, 3175.25, 3223.37
02/11/20, 3168.15, 3195.50, 3166.99, 3175.57
02/10/20, 3142.47, 3173.32, 3137.81, 3163.15
02/07/20, 3214.18, 3219.80, 3170.57, 3181.48
02/06/20, 3215.37, 3231.97, 3206.92, 3231.55
02/05/20, 3163.67, 3203.04, 3156.86, 3200.13
02/04/20, 3135.50, 3166.71, 3132.51, 3156.57
02/03/20, 3131.02, 3139.36, 3112.33, 3116.31
01/31/20, 3173.39, 3183.46, 3144.33, 3153.73
01/30/20, 3183.20, 3191.38, 3152.51, 3170.68
01/29/20, 3181.19, 3193.84, 3172.66, 3182.57
01/28/20, 3172.73, 3190.08, 3144.10, 3181.25
01/24/20, 3235.36, 3242.50, 3230.32, 3240.02
01/23/20, 3251.84, 3259.90, 3231.37, 3234.56
01/22/20, 3242.60, 3258.96, 3240.17, 3253.93
01/21/20, 3271.56, 3275.15, 3232.99, 3247.17
01/20/20, 3280.95, 3283.06, 3270.80, 3280.09
01/17/20, 3282.85, 3283.89, 3269.99, 3281.03
01/16/20, 3256.83, 3280.36, 3255.63, 3278.00
01/15/20, 3266.54, 3276.00, 3252.02, 3256.98
